Date,BAB Factor
2012-01-31,0.6201066609145806
2012-02-29,-0.15657156145389967
2012-03-31,0.7196214548657272
2012-04-30,-0.13850605557448314
2012-05-31,-0.7343797979174362
2012-06-30,1.0252626717683175
2012-07-31,-0.3283529087714599
2012-08-31,-0.015834108988780404
2012-09-30,-0.06923673773549363
2012-10-31,0.019120776289106634
2012-11-30,0.27834413597738616
2012-12-31,-0.007728641125232
2013-01-31,-0.14929883490045792
2013-02-28,-0.07154600934936439
2013-03-31,-0.3663908249839913
2013-04-30,0.2610320177342309
2013-05-31,-0.009772951700800378
2013-06-30,-0.15012893151648338
2013-07-31,-0.3616170440043203
2013-08-31,-0.17427642317277334
2013-09-30,0.09430636581007407
2013-10-31,-0.040219317909494526
2013-11-30,0.4199762768292915
2013-12-31,-0.4544480187907989
2014-01-31,-0.21994410292946875
2014-02-28,-0.0015399807946293587
2014-03-31,0.30087176318447506
2014-04-30,0.19048756383813498
2014-05-31,-0.26659810847543725
2014-06-30,-0.21259492925741358
2014-07-31,-1.3158341383751804
2014-08-31,-0.13764057649704997
2014-09-30,-0.4174562866581226
2014-10-31,0.38816349473579725
2014-11-30,-0.2616080814938581
2014-12-31,-0.5120849901152729
2015-01-31,0.33699937265090874
2015-02-28,0.3793390214995598
2015-03-31,-0.44572565675805553
2015-04-30,-0.0978279123553881
2015-05-31,-0.6501069506284578
2015-06-30,-0.21877200719016082
2015-07-31,0.15539783993723322
2015-08-31,-0.6211098356315019
2015-09-30,0.7782787654340102
2015-10-31,0.454408409828716
2015-11-30,1.019583172160642
2015-12-31,-0.21748245595032695
2016-01-31,-1.1950104548998237
2016-02-29,0.38265269331259244
2016-03-31,0.10827461961180054
2016-04-30,-1.2548825422370387
2016-05-31,-0.5417496427517426
2016-06-30,0.48155852137390986
2016-07-31,0.7343306945575767
2016-08-31,-0.15828512535381087
2016-09-30,0.4360475116431249
2016-10-31,0.17637112454614612
2016-11-30,0.386525885925855
2016-12-31,0.07656557478913756
2017-01-31,-0.13061094111658822
2017-02-28,-1.6439854806295662
2017-03-31,-0.046913043882227
2017-04-30,0.17722136548436573
2017-05-31,-0.532854343480751
2017-06-30,0.3038729798172121
2017-07-31,-0.05329769146205103
2017-08-31,0.24827649590951073
2017-09-30,-0.00895517586171779
2017-10-31,0.8501687283135362
2017-11-30,-0.3078154162005299
2017-12-31,-0.2554855378021681
2018-01-31,-0.08484019289940727
2018-02-28,-0.01435024427646081
2018-03-31,0.29198662201134484
2018-04-30,-0.6848960865686184
2018-05-31,-0.5358962756042247
2018-06-30,0.00642392181420437
2018-07-31,0.22004900485587003
2018-08-31,-0.5782691999966036
2018-09-30,-0.16242048948857724
2018-10-31,0.9296540103540325
2018-11-30,-0.6225979876947003
2018-12-31,0.04466799362047946
2019-01-31,0.15709105499364134
2019-02-28,0.4189836418124419
2019-03-31,0.7132709946122447
2019-04-30,-0.03255948489141974
2019-05-31,-0.47191594320038155
2019-06-30,0.44108240618743977
2019-07-31,0.01620692601765439
2019-08-31,0.2895308861657734
2019-09-30,1.0693772328449387
2019-10-31,-0.26189425598123905
2019-11-30,-0.1621274388794925
2019-12-31,-0.10300048792231273
2020-01-31,-0.2695428011114896
2020-02-29,-0.5251885339014817
2020-03-31,-0.18308025223118674
2020-04-30,-0.8591866398193098
2020-05-31,-1.4865446166101899
2020-06-30,-0.8033899362572904
2020-07-31,-0.27911507733490315
2020-08-31,-0.1799936541449767
2020-09-30,0.5732284005368669
2020-10-31,0.3070017423667665
2020-11-30,-0.4959936785986589
2020-12-31,-0.00978184261422358
2021-01-31,0.1095023775766567
2021-02-28,-0.15635099480081793
2021-03-31,-0.3633780445976077
2021-04-30,-0.3908996281916778
2021-05-31,-0.013986045907364117
2021-06-30,-0.3084571444483561
2021-07-31,-0.6710076085829229
2021-08-31,-0.11759241600834403
2021-09-30,-0.11274313342054448
2021-10-31,0.241326047011164
2021-11-30,-0.34604214695037716
2021-12-31,-0.22119239440909638
2022-01-31,0.37391742562181074
2022-02-28,-0.379105027660683
2022-03-31,-0.4195334160787809
2022-04-30,0.1734567596037373
2022-05-31,-0.06675140157334636
2022-06-30,-0.965285120285547
2022-07-31,0.7676447472341883
2022-08-31,-0.5147507161221689
2022-09-30,0.6212997536405713
2022-10-31,-0.008272330805976558
2022-11-30,0.21316465193869366
2022-12-31,-0.15082191729980327
2023-01-31,0.10975734846784613
2023-02-28,0.27416002514204696
2023-03-31,0.15160185320215613
2023-04-30,-0.02195779480526927
2023-05-31,-0.9931883973407869
2023-06-30,0.269816267389426
2023-07-31,-0.1734645383257021
2023-08-31,-0.28629291641721744
2023-09-30,0.2554749153925042
2023-10-31,-0.41370926839474664
2023-11-30,-0.24295261285945258
2023-12-31,0.7797873644415846
